,jyoCd,Kyori,TrackCD,LR,taikei_0,taikei_1,taikei_2,taikei_3,taikei_4,taikei_5,taikei_10,taikei_11,taikei_12,taikei_13,taikei_14,taikei_15
308,08,2000,1,1,2,3,3,3,2,2,3,2,2,2,2,2
309,08,2000,1,1,2,2,2,2,2,1,1,1,2,2,2,2
310,08,2000,1,1,2,3,3,2,2,1,3,2,3,3,3,3
311,08,2000,1,1,2,2,2,2,2,2,2,1,2,1,2,2
312,08,2000,1,1,2,2,2,2,2,2,2,2,1,1,3,3
313,08,2000,1,1,2,3,3,2,2,2,3,2,3,3,2,2
314,08,2000,1,1,3,2,3,2,2,1,1,1,3,2,2,2
315,08,2000,1,1,2,3,2,2,2,2,3,2,3,3,2,2
316,08,1600,1,1,3,2,3,2,2,2,3,3,3,2,1,1
317,08,1600,1,1,2,2,2,2,2,2,1,1,2,2,1,1
318,08,1600,1,1,2,2,2,2,2,1,2,2,2,2,3,3
319,08,1600,1,1,2,3,2,2,2,1,3,2,1,1,2,3
320,08,1600,1,1,2,2,2,2,2,2,2,2,2,2,1,2
321,08,1600,1,1,2,2,2,2,2,1,3,3,2,2,2,2
322,08,1600,1,1,2,2,2,3,2,2,2,2,2,1,2,2
323,08,1600,1,1,3,2,3,2,2,2,2,1,2,2,2,2
324,08,1600,1,1,2,2,2,2,2,1,2,1,2,2,2,2
325,08,1600,1,1,0,3,3,3,2,1,3,2,0,0,3,3
326,08,1600,1,1,3,2,3,2,2,2,3,3,2,2,0,0
327,08,1600,1,1,0,3,3,2,2,1,3,2,0,0,3,3
328,08,1600,1,1,2,2,2,2,2,2,2,1,3,3,2,2
329,08,2200,1,1,2,2,2,2,2,1,3,3,3,3,2,2
330,08,2200,1,1,2,3,2,2,2,1,2,2,2,2,2,2
331,08,2200,1,1,3,2,3,2,2,1,2,2,2,1,2,2
332,08,2200,1,1,2,2,2,2,2,1,1,1,3,3,2,3
333,08,2200,1,1,3,3,2,3,2,1,3,2,2,2,3,3
334,08,2200,1,1,2,2,2,2,2,2,3,2,2,1,3,3
335,08,2200,1,1,2,2,2,3,2,1,2,2,3,2,3,3
336,08,2200,1,1,2,2,2,3,2,1,2,1,2,1,3,3
337,08,2200,1,1,2,2,2,2,2,2,2,1,3,2,2,2
338,08,2200,1,1,2,2,2,2,2,2,2,1,2,2,2,2
339,08,2200,1,1,2,2,2,2,2,2,2,1,2,2,2,2
340,06,1200,2,1,2,2,2,2,2,2,2,1,0,0,1,2
341,06,1200,2,1,3,3,2,2,2,2,3,2,3,3,2,2
342,06,1200,2,1,2,3,2,3,2,2,3,2,3,3,2,2
343,06,1200,2,1,2,3,2,2,2,2,2,2,3,3,2,2
344,06,1200,2,1,2,2,2,2,1,1,1,1,0,0,1,2
345,06,1200,2,1,2,2,1,2,2,1,2,1,2,1,3,3
346,06,1200,2,1,2,3,3,3,2,2,2,2,0,0,3,3
347,06,1200,2,1,2,3,2,3,2,2,2,1,0,0,2,2
348,06,1200,2,1,2,2,2,2,2,2,2,1,3,3,3,3
349,06,1200,2,1,2,3,3,3,2,2,3,3,2,1,3,3
350,06,1200,2,1,2,3,3,2,2,1,3,2,2,2,2,2
351,06,1200,2,1,2,3,3,3,2,2,3,2,3,3,2,2
352,06,1200,2,1,2,2,2,3,2,1,1,1,3,3,3,3
353,06,1800,1,1,2,3,3,3,2,1,3,2,2,1,2,2
354,06,1800,1,1,2,2,2,3,2,2,2,2,2,1,2,2
355,06,1800,1,1,2,3,3,2,2,2,3,2,2,1,2,3
356,06,1800,1,1,2,2,2,2,2,2,2,1,2,1,3,3
357,06,1800,1,1,2,2,2,2,2,1,1,1,2,2,1,2
358,06,1800,1,1,2,2,2,2,2,1,1,1,2,1,3,3
359,06,1800,1,1,2,3,2,3,2,2,3,2,3,3,2,2
360,06,1800,1,1,0,3,2,3,2,2,3,2,0,0,3,3
361,06,1800,1,1,2,3,2,3,2,1,3,2,2,1,2,2
362,06,1200,2,1,2,2,2,2,2,1,2,2,3,2,2,3
363,06,1200,2,1,3,2,2,2,2,1,2,1,2,2,2,2
364,06,1200,2,1,3,3,3,2,2,1,2,1,3,3,3,3
365,06,1200,2,1,2,3,2,2,2,1,3,2,2,2,3,3
366,06,1200,2,1,2,2,2,3,2,2,2,2,3,3,2,2
367,06,1200,2,1,3,3,3,2,2,2,3,2,3,2,2,2
