íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
0,0,0,0,2,0,0,0,14.2,12.4,7.8
0,0,0,0,1,0,0,1,16.1,11.6,20.4
0,0,0,0,2,0,1,0,15.6,20,26.3
0,0,0,0,1,0,0,0,20.8,10.7,9
1,0,3,0,2,0,4,1,16.6,11.7,16.4
1,0,1,0,1,2,1,0,17.9,15.4,10
1,5,4,0,1,5,0,0,14.7,24.1,18
0,3,0,0,1,1,0,1,17.1,17.5,28.9
0,5,0,0,0,4,3,0,15.2,46.4,22.6
0,1,5,0,2,3,2,0,14.7,21.3,20
0,0,1,0,1,0,0,0,14,15.8,7.8
0,0,2,0,2,1,0,0,15.2,10.5,29.4
0,1,0,0,1,0,0,0,14,10,11.7
0,5,0,0,1,0,1,1,14.2,25.2,34
0,0,0,0,1,0,0,0,14.2,2.4,13.1
0,0,0,0,1,0,5,0,12.9,8.9,0
1,5,4,0,3,5,5,0,15.5,42.4,17.9
1,5,5,0,1,2,1,0,15.8,18.8,18.8
1,5,3,0,1,4,2,0,14,17.5,28.9
0,0,1,0,1,1,4,1,13.4,17.6,9.3
0,0,0,0,1,0,0,1,13.7,17.3,2.7
0,0,0,0,1,0,3,0,14.8,12.5,9
0,1,1,0,1,3,1,1,16,12.9,22.2
0,0,2,0,2,1,0,0,14.8,23.6,15.5
1,0,4,0,1,3,5,0,16.8,13.5,13.5
1,0,1,0,1,1,0,0,16,0,17
1,0,1,0,2,1,1,1,16.1,13,24.4
0,1,0,0,1,0,0,1,13.4,21.1,21.6
0,3,0,0,2,0,0,0,13.4,14.9,6.2
0,0,3,0,1,2,4,0,13.5,11.7,7.3
0,0,2,0,1,4,0,0,17.3,17.6,2
0,0,5,0,1,5,3,0,17.3,13.7,12.2
0,0,0,0,0,0,1,0,11.5,7.7,3.3
0,0,0,0,1,0,2,1,16.8,22.1,0
0,0,0,0,1,0,0,0,13.4,9.5,3.2
0,0,0,0,1,0,0,0,13.4,16.9,10.7
0,0,0,0,1,0,0,0,13.5,5.8,0
0,0,0,0,1,0,0,0,16,3.5,8.1
0,5,0,0,1,0,0,0,16.1,13.3,13.9
1,5,0,0,1,0,0,0,15.8,15.1,40
1,0,5,0,1,4,2,0,11.2,9.5,10.2
1,0,1,0,1,1,1,0,12,12.4,10.6
0,5,0,0,1,0,0,1,15.8,19.2,6.6
0,0,3,0,1,1,3,1,11.2,10.6,12
0,0,0,0,1,5,0,0,13.3,24.3,2.7
0,0,0,0,1,3,1,0,13.9,20,16.9
0,1,0,0,1,0,0,0,17.6,4.7,14.2
0,0,2,0,1,0,0,0,13.7,2.5,9.6
0,0,0,0,1,0,0,0,13.9,12.3,2.5
0,0,0,0,1,0,5,1,13.3,11.7,25.9
0,0,1,0,2,0,0,0,14.7,18.5,6.5
0,0,4,0,3,2,4,0,14.7,36.7,10.7
0,0,0,0,1,0,0,0,13.7,0,0
0,1,0,0,1,0,0,0,17.6,19.3,22.2
0,1,0,0,1,0,0,0,12,0,2.1
1,0,2,0,1,2,1,0,16.1,10.4,19
1,0,4,0,1,4,3,0,16.1,9,17.3
1,0,1,0,1,1,2,1,13.4,14.5,15
0,0,5,0,1,5,5,0,11.5,3,5
0,0,1,0,1,3,4,1,17.3,10.1,15.2
0,0,3,0,1,1,1,0,16.8,14.8,7.5
0,1,0,0,1,0,0,0,17.3,13.9,4
0,0,0,0,1,0,0,1,13.4,10.9,19.5
0,0,0,0,1,0,0,0,13.5,7.6,20
0,0,0,0,1,0,0,0,16,6.8,0
0,0,0,0,1,0,0,0,16.8,0,7.1
0,0,0,0,1,0,0,0,11.5,11.7,2.1
0,0,0,0,1,0,0,0,13.4,20.6,5.7
0,0,0,0,1,0,0,0,13.5,6.3,4.5
0,0,0,0,1,0,0,0,13.4,14.4,5.8
0,0,0,0,1,0,0,0,16,9,15.3
1,5,3,0,2,3,3,0,14,14.9,13.6
1,5,5,0,4,5,5,0,14.8,43.7,25.7
1,1,0,0,1,0,0,0,15.8,0,0
0,0,1,0,1,2,4,1,14.8,8.3,17
0,1,4,0,1,4,2,0,13.4,22.2,22.2
0,0,0,0,1,0,0,1,14,21.2,4.3
0,3,0,0,1,0,0,0,14.8,15.5,4.7
0,5,2,0,1,1,0,0,15.5,9.3,15.5
0,0,1,0,1,0,1,1,15.5,17.5,16.6
0,5,0,0,1,0,0,0,15.8,16.5,6.2
0,1,0,0,1,0,0,0,13.4,10.8,16.3
0,0,0,0,1,0,0,0,13.7,9.7,3.8
0,0,0,0,1,0,0,0,16,14.5,26.9
0,3,0,0,1,1,1,0,13.7,25,0
1,3,0,0,1,0,0,1,12.8,13,16.6
1,0,0,0,1,0,0,1,17,12.5,13.6
1,1,2,0,2,2,1,0,14.5,15.9,15.1
0,0,1,0,1,1,2,0,11.8,20.6,2.3
0,0,0,0,1,0,0,0,14.5,3.5,8.1
0,1,5,0,1,5,4,0,12.8,3.9,13.9
0,0,0,0,1,0,0,1,14.4,0,0
0,3,4,0,2,4,5,0,13.7,31.3,16.6
0,0,0,0,2,0,0,0,12.2,14.4,12.7
0,0,3,0,1,3,3,0,11.8,15,#N/A
0,0,0,0,1,0,0,0,14.4,19.1,20.6
0,0,0,0,1,0,0,0,17,10.9,4.7
0,0,0,0,1,0,0,0,13.7,6.2,2
0,0,1,0,1,1,1,0,12.2,10.4,3.3
0,0,0,0,1,0,0,0,14.6,23.5,13
0,0,0,0,1,0,0,0,14.6,0,5.8
1,0,0,0,1,0,0,0,13.5,11.8,13.3
1,0,5,0,1,4,5,0,13.4,13.4,9.8
1,0,1,0,1,3,0,0,16,6.7,19.5
0,0,0,0,1,0,0,1,13.5,10.8,8.5
0,0,1,0,0,5,2,0,16,31.8,20.6
0,5,0,0,2,0,0,0,16.8,31.6,3
0,0,0,0,1,0,0,0,11.5,11.7,16
0,5,0,0,1,1,1,1,16.1,15.9,11.7
0,0,3,0,2,2,3,0,13.4,14.2,9
0,0,0,0,1,0,0,0,16.1,8.6,15.2
0,0,2,0,1,0,4,0,17.3,10.2,20.5
0,5,0,0,1,0,0,0,13.4,14.4,9.7
0,0,4,0,1,1,0,1,16.8,15.1,0
0,0,0,0,1,0,0,0,13.4,0,12.1
0,0,0,0,1,0,0,0,11.5,4.4,7.6
0,0,0,0,1,0,1,0,17.3,17.8,25.8
1,5,5,0,0,5,0,0,15.2,46.4,22.6
1,0,2,0,1,1,1,0,14.7,9.2,11.3
1,0,0,0,1,0,0,1,14,0,0
0,1,0,0,1,0,0,0,16.6,6,11.4
0,0,1,0,1,0,2,1,15.2,12.7,11.7
0,0,3,0,2,2,4,0,14.2,18.7,9
0,0,4,0,1,1,1,0,14.2,9,6
0,0,0,0,1,0,0,0,17.1,9.3,24.1
0,0,1,0,1,3,3,0,17.9,33.3,10.7
0,0,0,0,1,0,0,0,12.9,10.1,10.3
0,0,0,0,1,0,0,0,12.9,6.1,0
0,0,0,0,1,0,0,0,16.6,17.9,12.9
0,0,0,0,1,4,5,1,17.1,19.4,6.6
0,0,0,0,1,0,0,0,17.9,12.7,10.7
0,0,0,0,1,0,0,0,14,21.8,5
0,0,0,0,1,0,0,0,14.7,6.1,7.5
1,0,4,0,1,4,4,0,14.4,0,12.1
1,0,5,0,1,5,5,0,12.8,25,4.8
1,0,3,0,1,0,3,1,14.5,23.8,13.6
0,0,0,0,1,1,0,0,14.6,19.1,13.4
0,0,0,0,1,0,0,0,13.7,21,11.6
0,1,0,0,1,0,0,0,12.8,12.5,13
0,0,2,0,1,2,1,0,17,22.2,12.1
0,0,0,0,1,0,0,0,11.8,5.9,3
0,1,0,0,1,0,2,0,13.7,4.6,16.1
0,0,0,0,1,0,1,0,17,6.6,8.7
0,0,0,0,1,0,0,0,14.5,4.8,6.1
0,0,0,0,2,0,0,0,14.4,2.7,24.2
0,0,0,0,1,3,0,1,12.2,4,10
0,0,0,0,1,0,0,0,12.2,10.1,17.6
0,0,1,0,1,0,0,0,11.8,6.7,11.7
0,1,1,0,1,1,0,1,14.6,2,8.9
1,0,1,1,1,0,5,1,16,10.1,21.5
1,1,4,1,1,1,2,0,14.8,23.6,12.5
1,0,0,4,3,3,4,0,14,36.7,22.8
0,0,5,1,2,4,1,0,16,19.3,10.3
0,0,3,1,1,0,1,0,15.8,32.1,14.4
0,5,0,4,1,5,3,0,15.5,14.5,8.1
0,0,0,2,1,2,0,1,14.8,9,14.6
0,0,0,1,1,0,0,0,13.4,4.2,0
0,0,2,1,1,0,0,1,14.8,12.5,19.5
0,0,0,1,1,0,0,0,15.5,10.1,16.9
0,0,0,4,1,0,0,0,14.8,7.5,16.9
0,1,0,1,1,0,0,0,13.7,4.7,0
0,0,0,1,1,0,0,0,13.7,10.3,0
0,0,1,1,1,0,0,0,15.8,10.8,10.2
0,0,0,1,1,0,0,0,14,8.2,7.1
0,0,0,4,1,1,0,0,13.4,17.9,15.2
1,3,0,1,1,4,4,0,15.8,25,18.9
1,5,0,4,1,0,0,1,17.6,17,12.7
1,5,0,4,1,1,0,0,15.8,10.7,5.3
0,0,0,3,1,0,0,0,13.9,24.6,22.6
0,5,2,1,1,1,3,1,11.2,16.5,17.8
0,0,1,1,1,3,0,0,12,33.9,4
0,0,0,4,1,0,0,0,13.7,7.5,11.1
0,3,5,1,2,2,5,1,13.9,19.1,24.1
0,0,3,1,1,0,1,0,11.2,6.4,14.4
0,0,1,1,2,5,2,0,13.3,41.3,17.3
0,0,0,1,1,0,0,0,14.7,7.5,4.3
0,0,0,1,1,0,0,0,17.6,0,15.6
0,0,4,1,1,0,1,0,14.7,18.9,7.6
0,0,0,2,1,0,0,0,13.3,6.8,0
0,0,0,1,1,0,0,0,13.7,3.5,5.2
0,0,0,4,1,0,0,0,12,12.4,18.9
1,0,4,0,1,5,5,0,11.5,9,18.6
1,0,5,1,1,4,4,0,16,12.3,9.8
1,0,2,1,1,2,1,1,13.4,21.1,21.6
0,5,0,4,1,0,2,1,13.4,8.4,17.3
0,5,1,2,0,1,3,0,16.1,40.1,25
0,0,1,1,1,0,0,0,13.4,8.2,20
0,0,0,3,2,0,1,0,16.1,20,17.5
0,0,0,1,1,0,0,0,13.5,16.3,5.1
0,0,3,1,1,3,0,0,16,15.1,8.6
0,0,0,1,1,0,0,0,13.5,16.1,8.6
0,0,0,1,1,0,0,0,16.8,11.1,8.1
0,1,0,3,1,0,0,0,13.4,5.3,13.8
0,0,0,1,1,0,0,1,11.5,16.3,6.4
0,0,0,1,2,1,0,0,17.3,31.3,13.5
0,0,0,1,1,0,0,0,17.3,17.6,16.6
0,3,0,1,1,0,0,0,16.8,10,10.7
1,5,0,3,1,0,0,0,16.8,23,21.2
1,5,0,1,2,4,2,0,15.5,15.6,19.2
1,5,4,1,3,5,5,0,14.6,41.3,26.3
0,0,5,0,1,2,1,0,7.8,17.7,0
0,0,1,3,1,1,0,1,17.1,15.2,9.6
0,0,3,1,1,1,0,1,21.7,9.4,16.6
0,5,2,4,2,3,3,0,17.1,17,21.6
0,0,0,1,1,0,1,0,13,12.3,4.4
0,0,0,1,1,0,0,0,22.3,14.5,5
0,0,1,1,1,0,4,1,16.8,9.7,0
0,0,0,1,1,0,0,0,7.8,9.7,21.4
1,0,2,1,2,1,3,0,14.4,12.5,5.2
1,0,5,1,1,4,5,0,14.5,7.1,13.6
1,3,1,1,1,0,0,0,11.8,11.5,19
0,0,4,1,3,3,4,0,12.2,20.5,10.8
0,0,0,1,1,1,0,1,12.2,7.7,15.7
0,0,3,1,1,2,2,0,14.6,13.6,11.7
0,0,0,1,1,5,1,1,17,12.5,9.3
0,0,1,1,1,0,1,0,17,13.5,20
0,0,0,3,1,0,0,0,14.4,3.7,5.8
0,0,0,1,1,0,0,0,13.7,13.9,8.8
0,1,0,1,1,0,0,0,11.8,13.4,14.6
0,0,0,1,1,0,0,0,13.7,5.4,17.9
0,1,0,1,1,0,0,0,14.5,14,8.6
0,0,0,1,1,0,0,0,12.8,11.8,0
0,0,0,1,1,0,0,1,14.6,15.9,17.5
0,0,0,1,1,0,0,0,12.8,0,4.8
1,0,1,1,1,0,0,0,16.1,0,3.5
1,0,5,1,1,2,3,0,13.4,21.4,0
1,0,4,1,1,5,0,0,16.8,18.1,13.3
0,0,0,1,1,0,4,1,13.4,10.1,9.8
0,0,0,1,1,0,0,0,13.5,25,28.5
0,1,0,1,1,0,0,0,16,7.1,6.2
0,0,0,1,1,0,0,0,16,5,8.1
0,0,3,4,1,3,1,0,13.4,17,9.3
0,0,0,2,1,0,5,0,13.5,12.1,12.5
0,0,0,1,1,0,1,0,11.5,11.7,19.4
0,5,1,1,1,1,2,1,17.3,14.9,22.2
0,0,0,1,1,0,0,1,11.5,3.2,3.8
0,0,0,1,1,4,0,0,13.4,15.6,17.2
0,0,0,2,1,0,0,0,16.8,6.6,17
0,0,2,1,1,1,0,0,16.1,6.6,7.6
0,0,0,1,1,0,0,0,17.3,13.7,25.9
1,5,5,2,4,5,5,0,14,42.4,6.2
1,0,1,1,1,1,0,1,16.6,10.5,9
1,0,4,1,1,4,4,0,17.9,14.7,20
0,0,1,1,1,1,0,0,15.2,9.7,15.3
0,0,3,1,1,3,2,0,14.7,20,8
0,0,2,4,2,2,3,0,17.1,18.5,20.5
0,0,0,1,1,0,1,0,12.9,4.3,7.5
0,0,0,1,1,0,1,0,15.2,17.7,15.5
0,3,0,1,1,0,0,0,17.9,17.1,10
0,1,0,1,1,0,0,1,12.9,14.8,14.8
0,3,0,1,1,0,0,1,16.6,16.8,21
0,0,0,1,1,0,0,0,14.2,12.5,20
0,0,0,1,1,0,0,0,14.7,9.4,10.8
0,0,0,1,1,0,0,0,14,10,0
0,0,0,1,1,0,0,0,14.2,0,0
0,0,0,4,1,0,0,0,17.1,6.2,3.4
1,0,5,1,2,4,4,0,14.5,15.9,15.1
1,0,3,1,1,3,2,0,12.2,4,0
1,0,4,1,2,5,5,0,12.8,12.3,9.8
0,5,1,1,1,2,3,0,13.7,29.1,10
0,0,0,1,1,1,1,1,17,19.5,15.2
0,0,0,1,1,0,0,0,12.2,7.6,12.1
0,0,0,1,1,0,0,0,11.8,5.3,3.8
0,0,2,1,1,1,0,0,13.7,13.9,9.3
0,5,0,1,1,0,0,0,11.8,19.5,32
